Date : 2024-01-19 23:08:40
Directory : d:\php course\xammp\htdocs\ihub
Total : 543 files,  78720 codes, 2694 comments, 16566 blanks, all 97980 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\php course\xammp\htdocs\ihub\assets\plugins\icons\weather\weathericons.css                                | CSS        |          1 |         18 |          0 |         19 |
| d:\php course\xammp\htdocs\ihub\assets\plugins\ion-rangeslider\css\ion.rangeSlider.min.css                   | CSS        |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\assets\plugins\ion-rangeslider\js\custom-rangeslider.js                      | JavaScript |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\assets\plugins\ion-rangeslider\js\ion.rangeSlider.min.js                     | JavaScript |          1 |          1 |          0 |          2 |
| d:\php course\xammp\htdocs\ihub\assets\plugins\lightbox\glightbox.min.css                                    | CSS        |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\assets\plugins\lightbox\glightbox.min.js                                     | JavaScript |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\assets\plugins\lightbox\lightbox.js                                          | JavaScript |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\assets\plugins\material\materialdesignicons.css                              | CSS        |      9,614 |          7 |      3,745 |     13,366 |
| d:\php course\xammp\htdocs\ihub\assets\plugins\moment\moment.min.js                                          | JavaScript |          1 |          1 |          0 |          2 |
| d:\php course\xammp\htdocs\ihub\assets\plugins\morris\chart-data.js                                          | JavaScript |          4 |          0 |          0 |          4 |
| d:\php course\xammp\htdocs\ihub\assets\plugins\morris\morris.min.js                                          | JavaScript |          2 |          5 |          0 |          7 |
| d:\php course\xammp\htdocs\ihub\assets\plugins\morris\raphael-min.js                                         | JavaScript |          3 |          8 |          0 |         11 |
| d:\php course\xammp\htdocs\ihub\assets\plugins\owlcarousel\owl.carousel.min.css                              | CSS        |          1 |          5 |          0 |          6 |
| d:\php course\xammp\htdocs\ihub\assets\plugins\owlcarousel\owl.carousel.min.js                               | JavaScript |          2 |          5 |          0 |          7 |
| d:\php course\xammp\htdocs\ihub\assets\plugins\owlcarousel\owl.theme.default.min.css                         | CSS        |          1 |          5 |          0 |          6 |
| d:\php course\xammp\htdocs\ihub\assets\plugins\peity\chart-data.js                                           | JavaScript |         21 |          0 |          0 |         21 |
| d:\php course\xammp\htdocs\ihub\assets\plugins\peity\jquery.peity.min.js                                     | JavaScript |          1 |          6 |          1 |          8 |
| d:\php course\xammp\htdocs\ihub\assets\plugins\raty\custom.raty.js                                           | JavaScript |         18 |          0 |          0 |         18 |
| d:\php course\xammp\htdocs\ihub\assets\plugins\raty\jquery.raty.js                                           | JavaScript |         56 |          9 |          0 |         65 |
| d:\php course\xammp\htdocs\ihub\assets\plugins\scrollbar\custom-scroll.js                                    | JavaScript |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\assets\plugins\scrollbar\scroll.min.css                                      | CSS        |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\assets\plugins\scrollbar\scrollbar.min.js                                    | JavaScript |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\assets\plugins\select2\css\select2.min.css                                   | CSS        |          1 |          0 |          1 |          2 |
| d:\php course\xammp\htdocs\ihub\assets\plugins\select2\js\custom-select.js                                   | JavaScript |          3 |          0 |          0 |          3 |
| d:\php course\xammp\htdocs\ihub\assets\plugins\select2\js\select2.min.js                                     | JavaScript |          1 |          1 |          0 |          2 |
| d:\php course\xammp\htdocs\ihub\assets\plugins\simpleline\simple-line-icons.css                              | CSS        |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\assets\plugins\stickynote\sticky.css                                         | CSS        |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\assets\plugins\stickynote\sticky.js                                          | JavaScript |         14 |          0 |          0 |         14 |
| d:\php course\xammp\htdocs\ihub\assets\plugins\summernote\summernote-bs4.min.css                             | CSS        |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\assets\plugins\summernote\summernote-bs4.min.js                              | JavaScript |          1 |          2 |          0 |          3 |
| d:\php course\xammp\htdocs\ihub\assets\plugins\sweetalert\sweetalert2.all.min.js                             | JavaScript |          2 |          1 |          1 |          4 |
| d:\php course\xammp\htdocs\ihub\assets\plugins\sweetalert\sweetalerts.min.js                                 | JavaScript |          1 |          0 |          1 |          2 |
| d:\php course\xammp\htdocs\ihub\assets\plugins\toastr\toastr.js                                              | JavaScript |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\assets\plugins\toastr\toastr.min.js                                          | JavaScript |          1 |          1 |          2 |          4 |
| d:\php course\xammp\htdocs\ihub\assets\plugins\toastr\toatr.css                                              | CSS        |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\assets\plugins\twitter-bootstrap-wizard\form-wizard.css                      | CSS        |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\assets\plugins\twitter-bootstrap-wizard\form-wizard.js                       | JavaScript |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\assets\plugins\twitter-bootstrap-wizard\jquery.bootstrap.wizard.min.js       | JavaScript |         11 |         11 |          1 |         23 |
| d:\php course\xammp\htdocs\ihub\assets\plugins\twitter-bootstrap-wizard\prettify.js                          | JavaScript |          3 |          0 |          0 |          3 |
| d:\php course\xammp\htdocs\ihub\auth\assets\css\animate.css                                                  | CSS        |          2 |          3 |          0 |          5 |
| d:\php course\xammp\htdocs\ihub\auth\assets\css\bootstrap-datetimepicker.min.css                             | CSS        |          1 |          4 |          0 |          5 |
| d:\php course\xammp\htdocs\ihub\auth\assets\css\bootstrap.min.css                                            | CSS        |          2 |          5 |          0 |          7 |
| d:\php course\xammp\htdocs\ihub\auth\assets\css\dataTables.bootstrap4.min.css                                | CSS        |          1 |          0 |          1 |          2 |
| d:\php course\xammp\htdocs\ihub\auth\assets\css\style.css                                                    | CSS        |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\calendars.svg                                          | XML        |          4 |          0 |          1 |          5 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\cash.svg                                               | XML        |          5 |          0 |          1 |          6 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\close-circle.svg                                       | XML        |          5 |          0 |          1 |          6 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\close-circle1.svg                                      | XML        |          5 |          0 |          1 |          6 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\closes.svg                                             | XML        |          3 |          0 |          1 |          4 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\dash1.svg                                              | XML        |          4 |          0 |          1 |          5 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\dash2.svg                                              | XML        |          4 |          0 |          1 |          5 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\dash3.svg                                              | XML        |          3 |          0 |          1 |          4 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\dash4.svg                                              | XML        |          3 |          0 |          1 |          4 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\dashboard.svg                                          | XML        |          4 |          0 |          1 |          5 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\datepicker.svg                                         | XML        |          6 |          0 |          1 |          7 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\debitcard.svg                                          | XML        |          6 |          0 |          1 |          7 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\delete-2.svg                                           | XML        |          7 |          0 |          1 |          8 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\delete.svg                                             | XML        |          4 |          0 |          1 |          5 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\delete1.svg                                            | XML        |          7 |          0 |          1 |          8 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\dollar-square.svg                                      | XML        |          5 |          0 |          1 |          6 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\dollar.svg                                             | XML        |          3 |          0 |          1 |          4 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\download.svg                                           | XML        |          5 |          0 |          1 |          6 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\dropdown.svg                                           | XML        |          3 |          0 |          1 |          4 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\edit-5.svg                                             | XML        |          5 |          0 |          1 |          6 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\edit-6.svg                                             | XML        |          5 |          0 |          1 |          6 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\edit-set.svg                                           | XML        |          3 |          0 |          1 |          4 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\edit.svg                                               | XML        |          3 |          0 |          1 |          4 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\ellipise1.svg                                          | XML        |          5 |          0 |          1 |          6 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\excel.svg                                              | XML        |          4 |          0 |          1 |          5 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\expense1.svg                                           | XML        |          4 |          0 |          1 |          5 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\eye.svg                                                | XML        |          4 |          0 |          1 |          5 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\eye1.svg                                               | XML        |          4 |          0 |          1 |          5 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\filter.svg                                             | XML        |          5 |          0 |          1 |          6 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\log-out.svg                                            | XML        |          4 |          0 |          1 |          5 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\macbook.svg                                            | XML        |          9 |          0 |          1 |         10 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\mail.svg                                               | XML        |          3 |          0 |          1 |          4 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\minus.svg                                              | XML        |          3 |          0 |          1 |          4 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\notification-bing.svg                                  | XML        |          3 |          0 |          1 |          4 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\pause1.svg                                             | XML        |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\pdf.svg                                                | XML        |          3 |          0 |          1 |          4 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\places.svg                                             | XML        |          3 |          0 |          1 |          4 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\plus-circle.svg                                        | XML        |          5 |          0 |          1 |          6 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\plus.svg                                               | XML        |          4 |          0 |          1 |          5 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\plus1.svg                                              | XML        |          4 |          0 |          1 |          5 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\printer.svg                                            | XML        |          3 |          0 |          1 |          4 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\product.svg                                            | XML        |          3 |          0 |          1 |          4 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\purchase1.svg                                          | XML        |          4 |          0 |          1 |          5 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\quotation1.svg                                         | XML        |          6 |          0 |          1 |          7 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\return1.svg                                            | XML        |          3 |          0 |          1 |          4 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\reverse.svg                                            | XML        |          4 |          0 |          1 |          5 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\sales1.svg                                             | XML        |          5 |          0 |          1 |          6 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\scan.svg                                               | XML        |          3 |          0 |          1 |          4 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\scanner.svg                                            | XML        |          5 |          0 |          1 |          6 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\scanner1.svg                                           | XML        |          3 |          0 |          1 |          4 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\scanners.svg                                           | XML        |          4 |          0 |          1 |          5 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\search-white.svg                                       | XML        |          4 |          0 |          1 |          5 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\search-whites.svg                                      | XML        |          4 |          0 |          1 |          5 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\search.svg                                             | XML        |          4 |          0 |          1 |          5 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\settings.svg                                           | XML        |          4 |          0 |          1 |          5 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\time.svg                                               | XML        |          3 |          0 |          1 |          4 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\transcation.svg                                        | XML        |          3 |          0 |          1 |          4 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\transfer1.svg                                          | XML        |          3 |          0 |          1 |          4 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\trash12.svg                                            | XML        |          7 |          0 |          1 |          8 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\upload.svg                                             | XML        |          4 |          0 |          1 |          5 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\users1.svg                                             | XML        |          3 |          0 |          1 |          4 |
| d:\php course\xammp\htdocs\ihub\auth\assets\img\icons\wallet1.svg                                            | XML        |          5 |          0 |          1 |          6 |
| d:\php course\xammp\htdocs\ihub\auth\assets\js\bootstrap-datetimepicker.min.js                               | JavaScript |          2 |          0 |          0 |          2 |
| d:\php course\xammp\htdocs\ihub\auth\assets\js\bootstrap.bundle.min.js                                       | JavaScript |          1 |          6 |          0 |          7 |
| d:\php course\xammp\htdocs\ihub\auth\assets\js\dataTables.bootstrap4.min.js                                  | JavaScript |         10 |          4 |          1 |         15 |
| d:\php course\xammp\htdocs\ihub\auth\assets\js\feather.min.js                                                | JavaScript |          2 |         11 |          0 |         13 |
| d:\php course\xammp\htdocs\ihub\auth\assets\js\jquery-3.6.0.min.js                                           | JavaScript |          1 |          1 |          1 |          3 |
| d:\php course\xammp\htdocs\ihub\auth\assets\js\jquery-ui.min.js                                              | JavaScript |          8 |          4 |          1 |         13 |
| d:\php course\xammp\htdocs\ihub\auth\assets\js\jquery.dataTables.min.js                                      | JavaScript |        568 |         14 |          1 |        583 |
| d:\php course\xammp\htdocs\ihub\auth\assets\js\jquery.slimscroll.min.js                                      | JavaScript |          9 |          7 |          0 |         16 |
| d:\php course\xammp\htdocs\ihub\auth\assets\js\moment.min.js                                                 | JavaScript |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\auth\assets\js\script.js                                                     | JavaScript |        101 |          0 |          0 |        101 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\alertify\alertify.min.css                                | CSS        |          1 |          5 |          0 |          6 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\alertify\alertify.min.js                                 | JavaScript |          2 |          1 |          0 |          3 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\alertify\custom-alertify.min.js                          | JavaScript |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\apexchart\apexcharts.min.js                              | JavaScript |          3 |         11 |          1 |         15 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\apexchart\chart-data.js                                  | JavaScript |         21 |          0 |          0 |         21 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\chartjs\chart-data.js                                    | JavaScript |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\chartjs\chart.min.js                                     | JavaScript |          2 |         11 |          1 |         14 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\clipboard\clipboard.min.js                               | JavaScript |          1 |          6 |          0 |          7 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\countup\jquery.counterup.min.js                          | JavaScript |          1 |          7 |          0 |          8 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\countup\jquery.missofis-countdown.js                     | JavaScript |         16 |          8 |          0 |         24 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\countup\jquery.waypoints.min.js                          | JavaScript |          1 |          6 |          0 |          7 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\dragula\css\dragula.min.css                              | CSS        |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\dragula\js\drag-drop.min.js                              | JavaScript |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\dragula\js\dragula.min.js                                | JavaScript |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\fileupload\fileupload.min.js                             | JavaScript |          1 |          0 |          1 |          2 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\flot\chart-data.js                                       | JavaScript |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\flot\jquery.flot.fillbetween.js                          | JavaScript |        129 |         42 |         56 |        227 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\flot\jquery.flot.js                                      | JavaScript |      2,239 |        404 |        526 |      3,169 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\flot\jquery.flot.pie.js                                  | JavaScript |         61 |          0 |          0 |         61 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\fontawesome\css\all.min.css                              | CSS        |          1 |          4 |          0 |          5 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\fontawesome\css\fontawesome.min.css                      | CSS        |          1 |          4 |          0 |          5 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\fontawesome\webfonts\fa-brands-400.svg                   | XML        |      3,492 |          4 |          1 |      3,497 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\fontawesome\webfonts\fa-regular-400.svg                  | XML        |        799 |          4 |          1 |        804 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\fontawesome\webfonts\fa-solid-900.svg                    | XML        |      4,663 |          4 |          1 |      4,668 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\fullcalendar\fullcalendar.min.css                        | CSS        |          1 |          4 |          0 |          5 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\fullcalendar\fullcalendar.min.js                         | JavaScript |          5 |          5 |          0 |         10 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\fullcalendar\jquery.fullcalendar.js                      | JavaScript |          7 |          0 |          0 |          7 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\icons\feather\feather.css                                | CSS        |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\icons\flags\flags.css                                    | CSS        |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\icons\ionic\ionicons.css                                 | CSS        |          1 |          3 |          0 |          4 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\icons\pe7\pe-icon-7.css                                  | CSS        |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\icons\themify\themify.css                                | CSS        |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\icons\typicons\typicons.css                              | CSS        |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\icons\weather\weathericons.css                           | CSS        |          1 |         18 |          0 |         19 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\ion-rangeslider\css\ion.rangeSlider.min.css              | CSS        |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\ion-rangeslider\js\custom-rangeslider.js                 | JavaScript |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\ion-rangeslider\js\ion.rangeSlider.min.js                | JavaScript |          1 |          1 |          0 |          2 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\lightbox\glightbox.min.css                               | CSS        |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\lightbox\glightbox.min.js                                | JavaScript |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\lightbox\lightbox.js                                     | JavaScript |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\material\materialdesignicons.css                         | CSS        |      9,614 |          7 |      3,745 |     13,366 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\moment\moment.min.js                                     | JavaScript |          1 |          1 |          0 |          2 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\morris\chart-data.js                                     | JavaScript |          4 |          0 |          0 |          4 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\morris\morris.min.js                                     | JavaScript |          2 |          5 |          0 |          7 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\morris\raphael-min.js                                    | JavaScript |          3 |          8 |          0 |         11 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\owlcarousel\owl.carousel.min.css                         | CSS        |          1 |          5 |          0 |          6 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\owlcarousel\owl.carousel.min.js                          | JavaScript |          2 |          5 |          0 |          7 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\owlcarousel\owl.theme.default.min.css                    | CSS        |          1 |          5 |          0 |          6 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\peity\chart-data.js                                      | JavaScript |         21 |          0 |          0 |         21 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\peity\jquery.peity.min.js                                | JavaScript |          1 |          6 |          1 |          8 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\raty\custom.raty.js                                      | JavaScript |         18 |          0 |          0 |         18 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\raty\jquery.raty.js                                      | JavaScript |         56 |          9 |          0 |         65 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\scrollbar\custom-scroll.js                               | JavaScript |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\scrollbar\scroll.min.css                                 | CSS        |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\scrollbar\scrollbar.min.js                               | JavaScript |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\select2\css\select2.min.css                              | CSS        |          1 |          0 |          1 |          2 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\select2\js\custom-select.js                              | JavaScript |          3 |          0 |          0 |          3 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\select2\js\select2.min.js                                | JavaScript |          1 |          1 |          0 |          2 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\simpleline\simple-line-icons.css                         | CSS        |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\stickynote\sticky.css                                    | CSS        |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\stickynote\sticky.js                                     | JavaScript |         14 |          0 |          0 |         14 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\summernote\summernote-bs4.min.css                        | CSS        |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\summernote\summernote-bs4.min.js                         | JavaScript |          1 |          2 |          0 |          3 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\sweetalert\sweetalert2.all.min.js                        | JavaScript |          2 |          1 |          1 |          4 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\sweetalert\sweetalerts.min.js                            | JavaScript |          1 |          0 |          1 |          2 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\toastr\toastr.js                                         | JavaScript |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\toastr\toastr.min.js                                     | JavaScript |          1 |          1 |          2 |          4 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\toastr\toatr.css                                         | CSS        |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\twitter-bootstrap-wizard\form-wizard.css                 | CSS        |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\twitter-bootstrap-wizard\form-wizard.js                  | JavaScript |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\twitter-bootstrap-wizard\jquery.bootstrap.wizard.min.js  | JavaScript |         11 |         11 |          1 |         23 |
| d:\php course\xammp\htdocs\ihub\auth\assets\plugins\twitter-bootstrap-wizard\prettify.js                     | JavaScript |          3 |          0 |          0 |          3 |
| d:\php course\xammp\htdocs\ihub\auth\check_user.php                                                          | PHP        |         47 |          0 |          9 |         56 |
| d:\php course\xammp\htdocs\ihub\auth\conn.php                                                                | PHP        |         14 |          1 |          3 |         18 |
| d:\php course\xammp\htdocs\ihub\auth\singin.php                                                              | PHP        |         83 |          0 |         18 |        101 |
| d:\php course\xammp\htdocs\ihub\baroowo.html                                                                 | HTML       |        236 |          1 |         49 |        286 |
| d:\php course\xammp\htdocs\ihub\brk.html                                                                     | HTML       |        173 |          1 |         18 |        192 |
| d:\php course\xammp\htdocs\ihub\contact-us.php                                                               | PHP        |        158 |          2 |         15 |        175 |
| d:\php course\xammp\htdocs\ihub\css\about-us.css                                                             | CSS        |      2,050 |         59 |        711 |      2,820 |
| d:\php course\xammp\htdocs\ihub\css\contac-us.css                                                            | CSS        |        191 |          3 |         20 |        214 |
| d:\php course\xammp\htdocs\ihub\css\logo-slider.css                                                          | CSS        |         58 |          2 |         12 |         72 |
| d:\php course\xammp\htdocs\ihub\css\our-programs.css                                                         | CSS        |        151 |          5 |         59 |        215 |
| d:\php course\xammp\htdocs\ihub\css\our-services.css                                                         | CSS        |        152 |          5 |         57 |        214 |
| d:\php course\xammp\htdocs\ihub\css\style.css                                                                | CSS        |      1,635 |         44 |        578 |      2,257 |
| d:\php course\xammp\htdocs\ihub\css\testmonial.css                                                           | CSS        |        237 |         19 |         28 |        284 |
| d:\php course\xammp\htdocs\ihub\font-awesome\css\all.min.css                                                 | CSS        |          3 |          5 |          1 |          9 |
| d:\php course\xammp\htdocs\ihub\font-awesome\css\fontawesome.min.css                                         | CSS        |          3 |          5 |          1 |          9 |
| d:\php course\xammp\htdocs\ihub\images\icon-next.svg                                                         | XML        |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\images\icon-prev.svg                                                         | XML        |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\images\pattern-bg.svg                                                        | XML        |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\images\pattern-curve.svg                                                     | XML        |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\images\pattern-quotes.svg                                                    | XML        |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\index.php                                                                    | PHP        |        513 |         17 |         83 |        613 |
| d:\php course\xammp\htdocs\ihub\js\jquery-3.7.1.min.js                                                       | JavaScript |          1 |          1 |          0 |          2 |
| d:\php course\xammp\htdocs\ihub\js\logo-slider.js                                                            | JavaScript |         31 |          1 |          2 |         34 |
| d:\php course\xammp\htdocs\ihub\js\main.js                                                                   | JavaScript |        190 |         19 |         68 |        277 |
